epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,353.896,0.93486,2.82054,1.09557,0.00507,1,0.57404,0.50682,0.68115,3.30054,0.98119,0.00125636,0.000418787,0.00125636,0.000418787,0.00125636,0.000418787,0.00125636,0.000418787
31,361.522,1.06747,2.70361,1.11856,0.00507,1,0.57404,0.50682,0.68115,3.30054,0.98119,0.00123855,0.000412849,0.00123855,0.000412849,0.00123855,0.000412849,0.00123855,0.000412849
32,373.603,0.94457,2.86878,1.12422,0.00507,1,0.59286,0.52058,0.66877,3.29269,0.9622,0.00121677,0.000405591,0.00121677,0.000405591,0.00121677,0.000405591,0.00121677,0.000405591
33,385.369,0.91868,2.68265,0.97627,0.00507,1,0.60036,0.52773,0.68247,3.2656,0.96837,0.00119104,0.000397013,0.00119104,0.000397013,0.00119104,0.000397013,0.00119104,0.000397013
34,392.301,0.92279,2.64084,1.03269,0.00507,1,0.60036,0.52773,0.68247,3.2656,0.96837,0.00116134,0.000387114,0.00116134,0.000387114,0.00116134,0.000387114,0.00116134,0.000387114
35,404.233,0.83182,2.64026,1.05502,0.00508,1,0.61865,0.5301,0.69703,3.23473,0.97575,0.00112769,0.000375895,0.00112769,0.000375895,0.00112769,0.000375895,0.00112769,0.000375895
36,415.631,1.19167,2.66442,1.23393,0.00508,1,0.6269,0.52624,0.67595,3.1992,0.96082,0.00109007,0.000363356,0.00109007,0.000363356,0.00109007,0.000363356,0.00109007,0.000363356
37,421.556,0.6535,2.62766,0.89435,0.00508,1,0.6269,0.52624,0.67595,3.1992,0.96082,0.00104849,0.000349497,0.00104849,0.000349497,0.00104849,0.000349497,0.00104849,0.000349497
38,433.463,0.75335,2.60085,0.94802,0.5595,0.625,0.63795,0.53084,0.69614,3.16584,0.96967,0.00100295,0.000334317,0.00100295,0.000334317,0.00100295,0.000334317,0.00100295,0.000334317
39,445.618,0.89593,2.46583,1.01662,0.92576,0.22169,0.65334,0.53677,0.67007,3.12573,0.95003,0.000953451,0.000317817,0.000953451,0.000317817,0.000953451,0.000317817,0.000953451,0.000317817
40,453.561,0.77084,2.49741,0.9594,0.92576,0.22169,0.65334,0.53677,0.67007,3.12573,0.95003,0.00089999,0.000299997,0.00089999,0.000299997,0.00089999,0.000299997,0.00089999,0.000299997
41,466.38,0.81655,2.58656,0.94343,1,0.12411,0.6531,0.54118,0.67494,3.07981,0.95228,0.000842568,0.000280856,0.000842568,0.000280856,0.000842568,0.000280856,0.000842568,0.000280856
42,478.936,0.74553,2.65979,0.92338,0.91356,0.18513,0.65539,0.5352,0.69974,3.03713,0.96231,0.000781186,0.000260395,0.000781186,0.000260395,0.000781186,0.000260395,0.000781186,0.000260395
43,486.788,0.71005,2.54467,0.94925,0.91356,0.18513,0.65539,0.5352,0.69974,3.03713,0.96231,0.000715843,0.000238614,0.000715843,0.000238614,0.000715843,0.000238614,0.000715843,0.000238614
44,498.271,0.70138,2.75936,0.81485,0.87703,0.2364,0.66076,0.5538,0.69846,2.98956,0.9674,0.000646539,0.000215513,0.000646539,0.000215513,0.000646539,0.000215513,0.000646539,0.000215513
45,505.862,0.96899,2.45955,1.02233,0.87703,0.2364,0.66076,0.5538,0.69846,2.98956,0.9674,0.000573275,0.000191092,0.000573275,0.000191092,0.000573275,0.000191092,0.000573275,0.000191092
46,517.712,0.78731,2.41903,0.99405,0.90893,0.42308,0.6607,0.55845,0.67592,2.94205,0.94779,0.000496049,0.00016535,0.000496049,0.00016535,0.000496049,0.00016535,0.000496049,0.00016535
47,525.544,0.70703,2.46066,0.89316,0.90893,0.42308,0.6607,0.55845,0.67592,2.94205,0.94779,0.000414863,0.000138288,0.000414863,0.000138288,0.000414863,0.000138288,0.000414863,0.000138288
48,536.479,0.66743,2.38742,0.91795,0.90212,0.47457,0.66541,0.56344,0.69112,2.90259,0.96076,0.000329716,0.000109905,0.000329716,0.000109905,0.000329716,0.000109905,0.000329716,0.000109905
49,543.39,0.61706,2.8044,0.97799,0.90212,0.47457,0.66541,0.56344,0.69112,2.90259,0.96076,0.000240608,8.02027e-05,0.000240608,8.02027e-05,0.000240608,8.02027e-05,0.000240608,8.02027e-05
50,554.534,0.70347,2.44143,0.93506,0.9045,0.48925,0.67184,0.57129,0.68393,2.86105,0.94915,0.00014754,4.91798e-05,0.00014754,4.91798e-05,0.00014754,4.91798e-05,0.00014754,4.91798e-05
